id,imie,nazwisko,zawod,ulica,kod,miasto,stawka
98,Justyna,Cieplucha,Agent celny,Górna 66/39,08-722,Piekary Śląskie,30
99,Aleks,Hinca,Listonosz,Stroma 66,58-891,Mikołów,128
100,Konstanty,Bluszcz,Technik mechanik,Średnia 22,74-378,Wieluń,51
101,Monika,Kinder,Żongler,Daleka 07/30,22-525,Dąbrowa Górnicza,122
102,Monika,Seidel,Palacz,Czereśniowa 36/44,09-250,Police,138
103,Malwina,Ciarka,Ebenista,Tartaczna 886,88-173,Mielec,62
104,Radosław,Cłapa,Ochroniarz,Kwiatowa 70/50,49-763,Nowy Targ,44
105,Emil,Ścibisz,Rzeczoznawca samochodowy,Działkowa 02/05,01-112,Wrocław,148
106,Ernest,Sadura,Redaktor,Grzybowa 683,26-683,Nowy Sącz,45
107,Rozalia,Zapora,Teksturator,Młynarska 70/71,68-533,Kędzierzyn-Koźle,39
108,Apolonia,Kubaczyk,Fasowacz,Piekarska 510,85-550,Toruń,38
109,Miłosz,Sobolak,Projektant gier komputerowych,Poznańska 92,30-341,Rzeszów,133
110,Mariusz,Trybała,Ebenista,Rajska 40/97,22-428,Tarnów,89
111,Lidia,Sierżant,Arborysta,Wojciecha 71/84,79-702,Płońsk,116
112,Stanisław,Zackiewicz,Nadleśniczy,Owocowa 21,74-588,Dąbrowa Górnicza,147
113,Alex,Skup,Salowa,Kolorowa 03/63,82-545,Świdnica,102
114,Grzegorz,Dąbal,Dżokej,Strażacka 321,54-572,Jarocin,19
115,Ernest,Stwora,Doradca podatkowy w Polsce,Wczasowa 21/22,91-564,Ostrołęka,48
116,Jeremi,Kukawka,Żongler,Hallera 95/87,83-089,Sosnowiec,96
117,Sonia,Banachowicz,Menedżer kultury,Sowia 000,76-918,Katowice,92
118,Oliwier,Litewka,Modelka dużych rozmiarów,Bukowa 137,56-392,Olkusz,97
119,Hubert,Milcarz,Handlarz,Nałkowskiej 77,86-713,Augustów,64
120,Wojciech,Matla,Salowa,Koralowa 82,17-939,Kościan,66
121,Kacper,Mateńko,Dżokej,Agrestowa 88,42-585,Kielce,101
122,Anita,Potoczna,Krojczy,Przemysłowa 902,25-108,Śrem,105
123,Franciszek,Fedak,Tłumacz literacki,Słowianska 826,03-903,Żory,135
124,Marcel,Wąsek,Hycel,Głowackiego 86,38-841,Lębork,22
125,Elżbieta,Pokusa,Arborysta,Zakole 95/69,63-693,Piaseczno,55
126,Marcel,Kolbusz,Służący,Mała 86/60,32-022,Oleśnica,93
127,Ada,Cebulak,Bibliotekarz,Majowa 537,01-282,Żary,22
128,Piotr,Ograbek,Trener personalny,Partyzantów 39,17-581,Świebodzice,123
129,Albert,Szałkiewicz,Architekt wnętrz,Kościuszki 08,19-966,Zgorzelec,121
130,Natasza,Waszczyk,Masztalerz,Rynek 58/98,64-202,Nowy Targ,135
131,Liwia,Banak,Technik budownictwa,Maczka 793,66-966,Malbork,37
132,Juliusz,Solich,Broker informacji,Ciasna 89,73-183,Zawiercie,101
133,Agnieszka,Kiepura,Teksturator,Azaliowa 31,03-002,Wieluń,100
134,Filip,Krysta,Pakowacz,Myśliwska 629,28-129,Tychy,77
135,Hubert,Kuryłowicz,Żongler,Kolorowa 844,73-588,Tarnobrzeg,90
136,Justyna,Kargol,Tokarz,Jaskółcza 74/14,70-992,Inowrocław,61
137,Mariusz,Cacko,Tłumacz przysięgły,Zacisze 28/02,98-671,Skawina,134
138,Tomasz,Kowalak,Rolnik,Nadbrzeżna 80/98,98-573,Bielsko-Biała,142
139,Szymon,Graj,Agent literacki,Jaśminowa 12/59,94-736,Kościerzyna,34
140,Ignacy,Jambor,Antykwariusz,Krokusowa 04/15,46-953,Zgierz,90
141,Cyprian,Krężołek,Rekwizytor,Morska 549,02-932,Inowrocław,69
142,Elżbieta,Przeklasa,Technik kelner,Sikorskiego 362,23-419,Radom,41
143,Hubert,Kość,Agent celny,Promienna 82/73,84-428,Jastrzębie-Zdrój,42
144,Emil,Stój,Dyplomata,Jaskółcza 69/34,47-342,Piotrków Trybunalski,104
145,Łukasz,Milej,Detektyw,Długosza 94/79,53-628,Ełk,28
146,Klara,Kopyt,Portier,Korfantego 63/74,07-030,Marki,22
147,Norbert,Kruszka,Artysta-rezydent,Pomorska 42/16,82-497,Wejherowo,16
148,Bartek,Żabierek,Architekt wnętrz,Spokojna 73/53,26-686,Koszalin,96
149,Nikodem,Ciężka,Audytor efektywności energetycznej,Osiedlowa 82,74-628,Łaziska Górne,137
150,Urszula,Składanek,Służący,Kilińskiego 234,34-037,Świętochłowice,16
151,Konrad,Ochał,Masztalerz,Częstochowska 246,21-046,Piekary Śląskie,58
152,Igor,Golonko,Makler nadzorujący,Jagodowa 99,59-556,Kętrzyn,137
153,Krzysztof,Jaroch,Pokojówka,Dworcowa 15,81-471,Głogów,74
154,Marek,Tylman,Motorniczy,Sarnia 414,51-589,Mikołów,51
155,Dagmara,Dułak,Modelka dużych rozmiarów,Bałtycka 27,89-094,Lębork,101
156,Tola,Zbroja,Palacz,Srebrna 54/27,76-236,Mielec,136
157,Stefan,Prucnal,Certyfikator energetyczny,Wolności 827,88-066,Ciechanów,93
158,Dagmara,Bałdys,Inżynier,Konarskiego 22,60-402,Tychy,27
159,Anastazja,Kapałka,Iluzjonista,Grunwaldzka 621,18-200,Marki,60
160,Stanisław,Bembenek,Rolnik,Turystyczna 979,49-873,Szczecinek,136
161,Gustaw,Krysik,Portier,Źródlana 45,79-696,Sochaczew,26
162,Leon,Bitner,Krojczy,Wierzbowa 03/09,75-188,Kłodzko,32
163,Agnieszka,Różak,Rzeczoznawca budowlany,Makowa 39/62,92-711,Koło,68
164,Piotr,Boduch,Rekwizytor,Wiklinowa 66/75,46-183,Łódź,132
165,Anita,Habdas,Detektyw,Rzemieślnicza 61/68,97-972,Wodzisław Śląski,40
166,Ryszard,Malcher,Strażak,Boczna 591,78-925,Szczecinek,23
167,Przemysław,Giec,Pośrednik w obrocie nieruchomościami,Sawickiej 58,84-388,Piła,29
168,Karina,Miękus,Sufler,Cedrowa 50/83,46-989,Skierniewice,43
169,Kazimierz,Jędrak,Liczmen,Niepodległości 00,00-414,Cieszyn,38
170,Justyna,Szkopek,Rachmistrz,Łabędzia 82/80,40-327,Czeladź,106
171,Aniela,Nazar,Kupiec,Kochanowskiego 450,22-613,Elbląg,116
172,Eliza,Rubaj,Przewodnik turystyczny,Kaliska 74/81,67-776,Kościerzyna,105
173,Sandra,Kolendo,Hycel,Ogrodowa 55,15-143,Zgierz,134
174,Igor,Siatka,Sprzątacz,Szmaragdowa 68/45,01-376,Wejherowo,149
175,Inga,Czerniakiewicz,Syndyk licencjonowany,Staszica 43,49-517,Zakopane,109
176,Marianna,Krzysztoszek,Agent literacki,Hallera 24/49,85-690,Koło,146
177,Iwo,Łasica,Dyrektor artystyczny,Cisowa 42/93,92-404,Dębica,56
178,Dariusz,Andziak,Sprzątacz,Okrzei 024,71-185,Starachowice,21
179,Ewa,Słaba,Pokojówka,Miłosza 30/83,03-320,Piaseczno,22
180,Fabian,Ubysz,Pośrednik ubezpieczeniowy,Piwna 30/46,99-660,Ostrowiec Świętokrzyski,111
181,Dominik,Gubernat,Konsjerż,Kochanowskiego 960,60-124,Tarnów,52
182,Błażej,Kliszcz,Kierowca,Baczynskiego 00,72-396,Kościerzyna,24
183,Fryderyk,Anioła,Makler morski,Poniatowskiego 873,96-712,Piła,106
184,Mieszko,Wielgos,Ratownik przedmedyczny,Szeroka 696,46-274,Siedlce,66
185,Igor,Kościuszko,Doradca inwestycyjny,Kossaka 33/88,30-090,Kluczbork,138
186,Ida,Kubrak,Pakowacz,Piłsudskiego 23/96,42-972,Koszalin,19
187,Rafał,Śliż,Kawiarka,Działkowa 01/91,95-404,Kościerzyna,124
188,Borys,Teper,Marketingowiec,Podwale 386,93-254,Sochaczew,149
189,Mieszko,Jezior,Lekarz weterynarii,Wróblewskiego 99,72-811,Biała Podlaska,78
190,Tomasz,Ziniewicz,Kurier,Morska 806,32-004,Żary,63
191,Mikołaj,Rzońca,Modelka dużych rozmiarów,Pomorska 75/61,36-277,Piekary Śląskie,48
192,Dorota,Gogacz,Makler papierów wartościowych,Towarowa 34,02-396,Kraków,57
193,Maciej,Pianka,Prezenter,Kossaka 419,79-961,Żary,35
194,Dariusz,Zięcik,Inżynier,Rybacka 29,66-433,Starachowice,60
195,Sandra,Ludwin,Technik mechanik,Brzechwy 777,09-709,Wejherowo,88
196,Klara,Klyta,Klechdarz,Kochanowskiego 47,79-450,Leszno,24
197,Kornelia,Fogt,Kasjer biletowy,Koralowa 692,91-490,Słupsk,34
198,Anita,Kostorz,Broker informacji,Cmentarna 91,87-018,Kościan,75
199,Alex,Byzdra,Finansista,Górna 96,03-960,Siemianowice Śląskie,33
200,Dominik,Malcher,Technik budownictwa,Jadwigi 47/18,97-856,Łuków,127
201,Jacek,Karczmarek,Służący,Towarowa 16/78,00-730,Bielsko-Biała,96
202,Mateusz,Maciejuk,Likwidator szkód,Świerczewskiego 65,03-833,Gdynia,110
203,Olaf,Matacz,Drwal,Sybiraków 55/06,85-948,Września,25
204,Witold,Szarzec,Drwal,Stroma 334,19-822,Wołomin,67
205,Rozalia,Ledzion,Likwidator szkód,Zaułek 77/73,45-350,Sosnowiec,83
206,Norbert,Brózda,Księgowy,Bukowa 60,90-391,Police,90
207,Adrianna,Rejmak,Doker,Morelowa 55,40-260,Czechowice-Dziedzice,75
208,Aurelia,Ambrożewicz,Kosmonauta,Świerczewskiego 73/40,70-257,Goleniów,27
209,Gustaw,Owsiany,Sztygar,Żytnia 41,78-119,Rzeszów,139
210,Julian,Patoła,Charakteryzator,Wrocławska 61,47-251,Łomża,116
211,Ewelina,Snoch,Księgowy,Traugutta 475,92-278,Czerwionka-Leszczyny,103
212,Aniela,Bulczak,Agent firmy inwestycyjnej,Lawendowa 80,83-247,Pruszcz Gdański,120
213,Mikołaj,Powązka,Urbanista,Chmielna 065,93-028,Zambrów,36
214,Witold,Gołek,Projektant gier komputerowych,Ceglana 422,45-885,Zambrów,65
215,Aleksander,Ciołczyk,Kawiarka,Bukowa 93,26-829,Gdańsk,95
216,Nicole,Romankiewicz,Model,Łabędzia 620,62-352,Jawor,134
217,Bartek,Irla,Nauczyciel akademicki,Radosna 06/73,93-295,Piła,80
218,Dorota,Łachacz,Technik nawigator morski,Sawickiej 63/39,66-403,Starogard Gdański,143
219,Kazimierz,Fechner,Niania,Wiatraczna 061,22-279,Lębork,132
220,Anita,Szulist,Kelner,Popiełuszki 72/31,37-269,Wejherowo,140
221,Bartek,Lemanowicz,Szlifierz,Jesienna 770,95-874,Przemyśl,29
222,Malwina,Rogal,Arborysta,Ciasna 95,94-289,Otwock,28
223,Cyprian,Tatarczuk,Ekwilibrystyka,Poznańska 04/34,03-232,Świecie,95
224,Dariusz,Żbik,Kierowca,Ściegiennego 79/94,23-747,Dąbrowa Górnicza,106
225,Sonia,Skierka,Barman,Żwirowa 46/21,75-812,Wyszków,94
226,Iwo,Ulewicz,Fotoreporter,Dolna 312,04-020,Gdańsk,134
227,Maksymilian,Łyczak,Kosztorysant,Północna 633,24-178,Bochnia,95
228,Tymon,Majorczyk,Dziennikarz,Bydgoska 75/65,38-160,Stargard Szczeciński,66
229,Gaja,Siwka,Technik handlowiec,Rybacka 463,56-879,Marki,41
230,Anita,Buszta,Rzecznik prasowy,Jana Pawła II 25/66,01-770,Bielawa,86
231,Dariusz,Irzyk,Tłumacz przysięgły,Słonecznikowa 41/35,06-204,Bielsk Podlaski,27
232,Tymon,Bas,Dyrektor artystyczny,Wojciecha 88/24,39-850,Oświęcim,14
233,Mariusz,Kapciak,Polityk,Kochanowskiego 409,36-673,Świebodzice,119
234,Tymon,Sąsiadek,Dyrektor artystyczny,Żeglarska 92/42,01-863,Grudziądz,51
235,Nataniel,Oleksiuk,Strażak,Klasztorna 99/34,67-195,Gdynia,124
236,Anna Maria,Plewnia,Trener personalny,Magnoliowa 03/45,28-192,Słupsk,76
237,Kalina,Kara,Projektant gier komputerowych,Krótka 57/65,71-834,Rzeszów,88
238,Jerzy,Swaczyna,Redaktor naukowy,Nadrzeczna 72/02,18-607,Skierniewice,101
239,Cyprian,Szumiec,Bankowiec,Kołłątaja 72/74,77-193,Kluczbork,19
240,Dagmara,Bancerz,Dubler,Baczynskiego 596,24-201,Gliwice,77
241,Fabian,Surdel,Ekwilibrystyka,Kołłątaja 88/18,27-766,Jaworzno,86
242,Angelika,Komisarczyk,Satyryk,Jagodowa 83,06-244,Polkowice,138
243,Dagmara,Frączkiewicz,Audytor efektywności energetycznej,Jodłowa 29,27-749,Jastrzębie-Zdrój,75
244,Tola,Folta,Terapeuta,Sokola 12,15-623,Tychy,50
245,Adrian,Zadworny,Ochroniarz,Gałczynskiego 89/81,98-382,Włocławek,75
246,Radosław,Kajdan,Ochroniarz,Szeroka 75/34,96-176,Środa Wielkopolska,117
247,Nicole,Durma,Arborysta,Maczka 99,40-909,Starachowice,68
248,Monika,Janiszek,Nauczyciel,Nadrzeczna 81/88,22-930,Przemyśl,146
249,Marcelina,Budzich,Archiwista,Dworska 43,36-917,Przemyśl,127
250,Marek,Smorąg,Poganiacz,Podleśna 53/88,49-628,Zduńska Wola,129
251,Kaja,Żok,Technik weterynarii,Orzechowa 13/88,57-559,Biłgoraj,124
252,Stanisław,Burkiewicz,Tokarz,Odrzańska 14,13-751,Białogard,129
253,Artur,Pagacz,Kosmonauta,Krucza 05,42-789,Knurów,108
254,Fryderyk,Kosiak,Tokarz,Sportowa 663,99-948,Sandomierz,100
255,Wojciech,Siciarz,Satyryk,Jaśminowa 96/44,68-003,Nowy Sącz,21
256,Adam,Koczara,Szatniarz,Urocza 32/04,00-059,Gliwice,131
257,Piotr,Polasik,Przedstawiciel handlowy,Poznańska 527,02-351,Knurów,51
258,Nela,Kretek,Konsultant,Rzemieślnicza 03,00-184,Zgierz,21
259,Tobiasz,Gąsienica,Redaktor naukowy,Żurawia 30/81,13-116,Dębica,16
260,Olgierd,Marat,Archiwista,Poniatowskiego 40/59,02-496,Czechowice-Dziedzice,103
261,Dariusz,Proć,Rzeczoznawca budowlany,Młyńska 70/57,08-905,Rzeszów,121
262,Gabriel,Jaśko,Nauczyciel akademicki,Kasztanowa 76/13,85-325,Opole,67
263,Karina,Wandas,Doradca ubezpieczeniowy,Krańcowa 37,06-863,Żywiec,18
264,Norbert,Jaszczur,Pucybut,Morelowa 25,73-747,Kędzierzyn-Koźle,88
265,Jan,Leśny,Żongler,Łabędzia 50,35-018,Świecie,52
266,Janina,Labocha,Kawiarka,Kościuszki 67,39-798,Kętrzyn,91
267,Ryszard,Wawrzyńczyk,Kuk,Hallera 723,23-297,Świętochłowice,44
268,Tobiasz,Wasil,Biegły rewident,Piękna 54,13-661,Legionowo,102
269,Michał,Tomaszuk,Bibliotekarz dyplomowany,Tartaczna 95,66-916,Bytom,77
270,Patryk,Kalisiak,Politolog,Miłosza 16/18,05-995,Świnoujście,84
271,Damian,Minta,Scenograf,Czereśniowa 52,36-389,Lubartów,123
272,Franciszek,Lisoń,Reporter wojenny,Ciasna 892,92-177,Świętochłowice,88
273,Maks,Pastuła,Animator kultury,Północna 16/98,28-617,Przemyśl,141
274,Agnieszka,Smolorz,Ekonomista,Północna 990,28-755,Skawina,102
275,Sara,Chwedczuk,Technik technologii drewna,Plażowa 345,22-219,Kraków,54
276,Michał,Dziadowicz,Detektyw,Ogrodowa 045,85-507,Rzeszów,118
277,Norbert,Domian,Krupier,Lubelska 302,71-456,Suwałki,93
278,Dominik,Przewoźny,Technik nawigator morski,Letnia 60/83,72-966,Koszalin,144
279,Bianka,Szkoła,Bibliotekarz,Długosza 069,73-111,Łuków,18
280,Janina,Jachimczyk,Rzeczoznawca majątkowy,Błękitna 158,47-339,Kwidzyn,122
281,Apolonia,Nóżka,Broker ubezpieczeniowy,Konstytucji 3 Maja 834,15-319,Sieradz,116
282,Jędrzej,Mydlak,Barman,Częstochowska 34/84,42-942,Ciechanów,59
283,Justyna,Klyszcz,Makler giełd towarowych,Daszyńskiego 45,52-983,Września,68
284,Fryderyk,Kuświk,Ekonomista,Rajska 98/81,64-783,Płońsk,146
285,Leon,Bubel,Marketingowiec,Grunwaldzka 385,82-397,Tarnowskie Góry,78
286,Adam,Makurat,Agent celny,Chmielna 858,94-009,Łódź,58
287,Artur,Pochopień,Technik budownictwa,Klasztorna 177,45-257,Żywiec,110
288,Tobiasz,Pułka,Agent celny,Jagiellońska 626,48-136,Wałcz,23
289,Karina,Korgul,Animator kultury,Dolna 966,93-129,Żyrardów,129
290,Oliwier,Rabiej,Liczmen,Opolska 389,91-389,Stalowa Wola,83
291,Maks,Sito,Tokarz,Polna 03/62,39-679,Radom,83
292,Sylwia,Dziurdzia,Koniarze,Wyzwolenia 93,33-624,Czechowice-Dziedzice,122
293,Józef,Kucharzyk,Kontroler biletów,Pułaskiego 861,97-853,Pruszków,137
294,Dagmara,Kuliberda,Ergonomista,Rynek 13,59-602,Reda,20
295,Dawid,Molka,Leśniczy,Działkowa 01/85,34-585,Kraków,104
296,Igor,Pałgan,Zoopsycholog,Swierkowa 894,92-762,Warszawa,71
297,Sara,Hendzel,Instruktor,Niepodległości 56/72,30-017,Siemianowice Śląskie,91
298,Marianna,Beker,Kowboj,Wąska 360,37-654,Sanok,28
299,Maksymilian,Krzyśko,Aktor dziecięcy,Jodłowa 67,88-602,Oleśnica,86
300,Jeremi,Smal,Technik kelner,Starowiejska 68,26-648,Jarosław,14
301,Przemysław,Lichoń,Teksturator,Akacjowa 63/26,52-639,Chorzów,104
302,Leonard,Kozłowicz,Scenograf,Daleka 89/27,10-502,Oświęcim,73
303,Róża,Ciesielczyk,Hutnik,Konarskiego 25/43,33-662,Sandomierz,68
304,Konstanty,Dering,Tłumacz literacki,Paderewskiego 123,13-052,Żyrardów,88
305,Marek,Kamyszek,Robotnik,Wyspiańskiego 428,62-905,Radom,27
306,Olaf,Rejmak,Tłumacz literacki,Wolności 51/61,35-112,Łaziska Górne,54
307,Kaja,Czajor,Biegły rewident,Wieniawskiego 83/78,22-867,Krotoszyn,118
308,Anna Maria,Grab,Kornak,Daszyńskiego 981,34-126,Piotrków Trybunalski,144
309,Liwia,Sornat,Kiper,Diamentowa 838,24-880,Świdnik,66
310,Julita,Parafiniuk,Trener personalny,Glówna 306,25-859,Płock,122
311,Sylwia,Grab,Teksturator,Drzymały 99/84,98-079,Ełk,60
312,Tobiasz,Jacak,Listonosz,Bursztynowa 88/85,46-430,Sosnowiec,50
313,Tobiasz,Nasiadka,Audytor efektywności energetycznej,Kowalska 420,65-551,Nowa Ruda,81
314,Jan,Hałka,Likwidator szkód,Rataja 07,51-160,Gdynia,116
315,Antoni,Zębik,Motorniczy,Źródlana 30/68,00-035,Jelenia Góra,49
316,Tymon,Koćwin,Aktor,Sybiraków 26,43-921,Olkusz,17
317,Kalina,Szuta,Pokojówka,Działkowa 89/63,18-156,Luboń,48
318,Róża,Wojcik,Scenarzysta,Baczynskiego 11/50,92-051,Białystok,141
319,Kaja,Bociek,Technik nawigator morski,Parkowa 202,54-927,Czeladź,111
320,Juliusz,Kusztal,Hycel,Chabrowa 82/14,69-073,Sochaczew,146
321,Robert,Radke,Kontroler biletów,Swierkowa 90/30,24-503,Turek,102
322,Dawid,Jonak,Kelner,Korfantego 832,07-903,Tarnobrzeg,66
